metric_category,metric,group,mean,std,sem,n
diversity,simpson,Control,0.700992441291016,0.03372497196025378,0.00526695574062059,41
diversity,simpson,ELS,0.6875515726811857,0.0354988499315928,0.0055439889365359344,41
diversity,shannon,Control,1.4079494545991231,0.0888713806550329,0.01387937784113078,41
diversity,shannon,ELS,1.3963755681706094,0.09237094157951556,0.014425917435665604,41
diversity,evenness,Control,0.6983072159860907,0.0411644427069348,0.006428805873590002,41
diversity,evenness,ELS,0.6918101508614869,0.05223736528715552,0.008158105848044363,41
diversity,cui,Control,0.24597857538403747,0.15747849482382298,0.024594008953191814,41
diversity,cui,ELS,0.30962436322839354,0.14749529683280166,0.02303489536725524,41
bout_duration,Freezing,Control,1.1523002720751916,1.5749094683868257,0.024768729106115796,4043
bout_duration,Freezing,ELS,1.0656697905181918,1.33191525834799,0.02211276013550586,3628
bout_duration,Sniffing,Control,1.2686868686868686,1.9870606974915181,0.08931173659699303,495
bout_duration,Sniffing,ELS,1.6979768786127167,2.514898348113887,0.09560209037477137,692
bout_duration,Grooming,Control,0.25225225225225223,0.023728949893812478,0.0022522522522522527,111
bout_duration,Grooming,ELS,0.25646551724137934,0.039853084771659664,0.0037002660270360286,116
bout_duration,Turn,Control,1.2746204058464594,1.8228463221306554,0.02171440434488054,7047
bout_duration,Turn,ELS,1.4373075230972283,2.0353450940374325,0.024647774356594036,6819
bout_duration,Locomotion,Control,0.470578231292517,0.43551700923231185,0.008032143446413361,2940
bout_duration,Locomotion,ELS,0.45994633959371406,0.39923690270492274,0.00781616354761554,2609
bout_duration,Climbing,Control,0.932349323493235,0.7849250950991525,0.027528524955835378,813
bout_duration,Climbing,ELS,0.9582810539523212,0.7896156633348989,0.027969621802393017,797
bout_duration,Jump,Control,0.47571090047393366,0.45082014660392594,0.02194558137002097,422
bout_duration,Jump,ELS,0.49577294685990336,0.49189583007388815,0.02417536113684365,414
transition,lz,Control,188.5609756097561,35.42319069514194,5.5321729489577836,41
transition,lz,ELS,180.5121951219512,29.959240603876722,4.678847308433302,41
transition,recurrence,Control,0.29900755870898393,0.03372497196025378,0.00526695574062059,41
transition,recurrence,ELS,0.31244842731881434,0.03549884993159281,0.005543988936535935,41
transition,determinism,Control,0.8062024589318343,0.04146484018380148,0.0064757200776141164,41
transition,determinism,ELS,0.8223072472518257,0.038488834935488644,0.006010946142584866,41
transition,markov,Control,1.1233682589159169,0.16211524070717928,0.025318147000717075,41
transition,markov,ELS,1.082181280174498,0.14940810813934544,0.02333362630478124,41
